OBJECTID,SA2011,node_dist,stop_dist,centre_in,node_in,stop_in,iso_cutoff,iso_date,iso_type,iso_hectar,centre_X,centre_Y,node_X,node_Y,stop_X,stop_Y,SHAPE_Length,SHAPE_Area
1,N00000001,13,881,1,1,0,900,12/6/2022,from_centroid,246,315463.48,379394.87,315459.49,379383.01,316093.14,380010.44,4539.359725,825277.8237
2,N00000001,13,881,1,1,0,1800,12/6/2022,from_centroid,432,315463.48,379394.87,315459.49,379383.01,316093.14,380010.44,7021.784606,1448967.462
3,N00000001,13,881,1,1,0,2700,12/6/2022,from_centroid,454,315463.48,379394.87,315459.49,379383.01,316093.14,380010.44,7058.003585,1520242.034
4,N00000001,13,881,1,1,0,3600,12/6/2022,from_centroid,454,315463.48,379394.87,315459.49,379383.01,316093.14,380010.44,7058.003585,1520242.034
5,N00000002,23,201,1,1,1,900,12/6/2022,from_centroid,698,315570.54,376723.87,315553.49,376739.97,315369.51,376729,12986.13011,2344881.753
6,N00000002,23,201,1,1,1,1800,12/6/2022,from_centroid,6872,315570.54,376723.87,315553.49,376739.97,315369.51,376729,106386.3758,23097722.71
7,N00000002,23,201,1,1,1,2700,12/6/2022,from_centroid,15018,315570.54,376723.87,315553.49,376739.97,315369.51,376729,222692.9907,50482895.76
8,N00000002,23,201,1,1,1,3600,12/6/2022,from_centroid,24965,315570.54,376723.87,315553.49,376739.97,315369.51,376729,323291.7815,83995919.16
9,N00000003,30,1293,1,1,1,900,12/6/2022,from_centroid,242,316569.5,378763.87,316558.33,378792.15,316772.59,377487.4,4617.566379,806921.7886
10,N00000003,30,1293,1,1,1,1800,12/6/2022,from_centroid,710,316569.5,378763.87,316558.33,378792.15,316772.59,377487.4,20374.47144,2379213.088
11,N00000003,30,1293,1,1,1,2700,12/6/2022,from_centroid,942,316569.5,378763.87,316558.33,378792.15,316772.59,377487.4,31357.8837,3153720.082
12,N00000003,30,1293,1,1,1,3600,12/6/2022,from_centroid,1201,316569.5,378763.87,316558.33,378792.15,316772.59,377487.4,43096.64232,4026541.338
13,N00000004,23,2522,1,1,0,900,12/6/2022,from_centroid,238,311555.5,377145.87,311554.89,377168.54,313419.13,378844.05,4384.008165,798876.5678
14,N00000004,23,2522,1,1,0,1800,12/6/2022,from_centroid,633,311555.5,377145.87,311554.89,377168.54,313419.13,378844.05,9370.343662,2131160.704
15,N00000004,23,2522,1,1,0,2700,12/6/2022,from_centroid,633,311555.5,377145.87,311554.89,377168.54,313419.13,378844.05,9370.343662,2131160.704
16,N00000004,23,2522,1,1,0,3600,12/6/2022,from_centroid,633,311555.5,377145.87,311554.89,377168.54,313419.13,378844.05,9370.343662,2131160.704
17,N00000005,13,233,1,1,1,900,12/6/2022,from_centroid,298,312288.41,380952.87,312297.06,380943.18,312298.03,380720.57,5983.80861,1000378.074
18,N00000005,13,233,1,1,1,1800,12/6/2022,from_centroid,2447,312288.41,380952.87,312297.06,380943.18,312298.03,380720.57,36259.4738,8202219.318
19,N00000005,13,233,1,1,1,2700,12/6/2022,from_centroid,3918,312288.41,380952.87,312297.06,380943.18,312298.03,380720.57,54098.49818,13126788.88
20,N00000005,13,233,1,1,1,3600,12/6/2022,from_centroid,6758,312288.41,380952.87,312297.06,380943.18,312298.03,380720.57,67787.76207,22626380.04
21,N00000006,118,453,1,1,1,900,12/6/2022,from_centroid,290,313795.48,378537.87,313687.66,378584.79,313453.03,378833.59,6651.690961,972588.0463
22,N00000006,118,453,1,1,1,1800,12/6/2022,from_centroid,2638,313795.48,378537.87,313687.66,378584.79,313453.03,378833.59,41680.42805,8845963.82
23,N00000006,118,453,1,1,1,2700,12/6/2022,from_centroid,4266,313795.48,378537.87,313687.66,378584.79,313453.03,378833.59,56817.52937,14312599.55
24,N00000006,118,453,1,1,1,3600,12/6/2022,from_centroid,7118,313795.48,378537.87,313687.66,378584.79,313453.03,378833.59,79752.32907,23845090.24
25,N00000007,27,805,1,1,1,900,12/6/2022,from_centroid,144,315148.37,383469.87,315125.02,383483.8,314617.29,382865.08,3416.151915,483488.9865
26,N00000007,27,805,1,1,1,1800,12/6/2022,from_centroid,1237,315148.37,383469.87,315125.02,383483.8,314617.29,382865.08,24112.27315,4149920.844
27,N00000007,27,805,1,1,1,2700,12/6/2022,from_centroid,2045,315148.37,383469.87,315125.02,383483.8,314617.29,382865.08,36273.48584,6849995.178
28,N00000007,27,805,1,1,1,3600,12/6/2022,from_centroid,4129,315148.37,383469.87,315125.02,383483.8,314617.29,382865.08,56076.54105,13811989.17
29,N00000008,10,220,1,1,1,900,12/6/2022,from_centroid,176,316786.34,385236.87,316776.08,385236.9,316566.97,385222.56,3370.784797,590114.6475
30,N00000008,10,220,1,1,1,1800,12/6/2022,from_centroid,4114,316786.34,385236.87,316776.08,385236.9,316566.97,385222.56,46895.33321,13774369.63
31,N00000008,10,220,1,1,1,2700,12/6/2022,from_centroid,9766,316786.34,385236.87,316776.08,385236.9,316566.97,385222.56,120557.2333,32671164.59
32,N00000008,10,220,1,1,1,3600,12/6/2022,from_centroid,18925,316786.34,385236.87,316776.08,385236.9,316566.97,385222.56,224838.5218,63312864.4
33,N00000009,20,1041,1,1,0,900,12/6/2022,from_centroid,431,318261.38,384242.87,318277.28,384255.7,318632.96,385214.57,7614.595288,1439715.587
34,N00000009,20,1041,1,1,0,1800,12/6/2022,from_centroid,1006,318261.38,384242.87,318277.28,384255.7,318632.96,385214.57,19257.02677,3364576.971
35,N00000009,20,1041,1,1,0,2700,12/6/2022,from_centroid,1006,318261.38,384242.87,318277.28,384255.7,318632.96,385214.57,19257.02677,3364576.971
36,N00000009,20,1041,1,1,0,3600,12/6/2022,from_centroid,1006,318261.38,384242.87,318277.28,384255.7,318632.96,385214.57,19257.02677,3364576.971
