SOA,Vacancies Notified
Northern Ireland,"74,293"
Abbey 1,1
Abbey 2,0
Abbey Park,"4,869"
Academy,33
Aghagallon 1,8
Aghagallon 2,68
Aghanloo 1,6
Aghanloo 2,95
Agivey,17
Ahoghill 1,1
Ahoghill 2,66
Aldergrove 1,226
Aldergrove 2,381
Aldergrove 3,17
Altmore,36
Altnagelvin 1,0
Altnagelvin 2,4
Altnagelvin 3,19
Andersonstown 1,6
Andersonstown 2,21
Andersonstown 3,10
Annagh 1,17
Annagh 2,569
Annalong 1,0
Annalong 2,1
Antiville,4
Ardboe,10
Ardeevin,26
Ardglass 1,5
Ardglass 2,7
Ardoyne 1,15
Ardoyne 2,0
Ardoyne 3,0
Armoy and Moss-Side and Moyarget,4
Artigarvan,5
Atlantic,20
Audley's Acre,9
Augher,35
Aughnacloy,242
Ballee,34
Ballinamallard,3
Ballinderry 1,6
Ballinderry 2,35
Balloo,6
Ballybay,48
Ballybot,119
Ballycarry,10
Ballyclare North 1,12
Ballyclare North 2,17
Ballyclare South 1,43
Ballyclare South 2,3
Ballycolman,32
Ballycraigy,0
Ballycrochan 1,0
Ballycrochan 2,0
Ballycrochan 3,0
Ballydown 1,0
Ballydown 2,133
Ballyduff 1,1
Ballyduff 2,14
Ballygawley,29
Ballygowan 1,5
Ballygowan 2,5
Ballyhackamore 1,26
Ballyhackamore 2,27
Ballyhackamore 3,44
Ballyhanwood 1,13
Ballyhanwood 2,16
Ballyhenry 1,6
Ballyhenry 2,24
Ballyhoe and Corkey,2
Ballyholme,165
Ballykeel,5
Ballykelly,670
Ballyloran,0
Ballylough and Bushmills,27
Ballyloughan,71
Ballymacarrett 1,1
Ballymacarrett 2,0
Ballymacarrett 3,54
Ballymacash 1,8
Ballymacash 2,6
Ballymacbrennan 1,4
Ballymacbrennan 2,32
Ballymaconnell 1,5
Ballymaconnell 2,2
Ballymacoss 1,0
Ballymacoss 2,1
Ballymacoss 3,9
Ballymagee 1,13
Ballymagee 2,9
Ballymaglave 1,75
Ballymaglave 2,51
Ballymaguigan,159
Ballymartrim,38
Ballymote,104
Ballynafeigh 1,15
Ballynafeigh 2,3
Ballynafeigh 3,387
Ballynahinch East,7
Ballynashallog 1,22
Ballynashallog 2,11
Ballynure 1,13
Ballynure 2,17
Ballyoran,34
Ballyrainey,45
Ballyrobert 1,159
Ballyrobert 2,44
Ballysaggart,63
Ballysally 1,0
Ballysally 2,0
Ballysillan 1,0
Ballysillan 2,0
Ballysillan 3,0
Ballywalter 1,9
Ballywalter 2,17
Ballyward,51
Banagher,21
Banbridge West,1
Bangor Castle,972
Bannside,7
Beechill 1,100
Beechill 2,241
Beechill 3,1
Beechmount 1,27
Beechmount 2,20
Beechmount 3,242
Beechwood,2
Belcoo and Garrison,6
Bellaghy,17
Belleek and Boa,6
Bellevue 1,1
Bellevue 2,0
Bellevue 3,0
Belmont 1,502
Belmont 2,40
Belmont 3,51
Benburb,530
Benvardin,7
Beragh,36
Bessbrook,11
Binnian,11
Blackcave,8
Blackhead,7
Blackstaff 1,378
Blackstaff 2,26
Blaris 1,0
Blaris 2,211
Bleary 1,19
Bleary 2,20
Bloomfield 1 (Belfast LGD),21
Bloomfield 1 (North Down LGD),87
Bloomfield 2 (Belfast LGD),0
Bloomfield 2 (North Down LGD),119
Bloomfield 3 (Belfast LGD),0
Bluefield 1,0
Bluefield 2,7
Boho Cleenish and Letterbreen,11
Bonamargy and Rathlin and Glenshesk,193
Boneybefore,0
Botanic 1,510
Botanic 2,0
Botanic 3,0
Botanic 4,119
Botanic 5,10
Bradshaw's Brae 1,97
Bradshaw's Brae 2,25
Brandywell,77
Broadway 1,0
Broadway 2,841
Brookeborough,51
Broughshane 1,43
Broughshane 2,1
Brownstown 1,16
Brownstown 2,34
Bryansburn 1,4
Bryansburn 2,13
Burleigh Hill 1,0
Burleigh Hill 2,13
Burnthill 1,10
Burnthill 2,2
Burren and Kilbroney 1,7
Burren and Kilbroney 2,83
Cairnshill 1,0
Cairnshill 2,0
Caledon,10
Callan Bridge,130
Camlough,24
Camowen,94
Carn Hill 1,46
Carn Hill 2,23
Carnany,19
Carncastle,36
Carnlough,9
Carnmoney 1,12
Carnmoney 2,0
Carnmoon and Dunseverick,37
Carrigatuke,9
Carrowdore 1,7
Carrowdore 2,16
Carrowreagh 1,43
Carrowreagh 2,35
Carryduff East 1,28
Carryduff East 2,50
Carryduff West 1,120
Carryduff West 2,1
Castle Demesne,"1,873"
Castlecaulfield,25
Castlecoole 1,18
Castlecoole 2,92
Castledawson 1,6
Castledawson 2,88
Castlederg,26
Castlerock 1,3
Castlerock 2,0
Castleview 1,0
Castleview 2,81
Castleview 3,0
Castlewellan 1,46
Castlewellan 2,59
Cathedral 1,1
Cathedral 2,94
Cavehill 1,1
Cavehill 2,0
Cavehill 3,0
Caw,3
Central (Ards LGD),951
Central (Coleraine LGD),674
Central (Larne LGD),72
Charlemont,145
Cherryvalley 1,0
Cherryvalley 2,1
Cherryvalley 3,0
Chichester Park 1,75
Chichester Park 2,23
Chichester Park 3,0
Church,16
Churchill 1,24
Churchill 2,111
Churchland,10
Clady,72
Clanabogan,1
Clandeboye 1,19
Clandeboye 2,7
Clandeboye 3,30
Clare,26
Claudy 1,13
Claudy 2,2
Cliftonville 1,2
Cliftonville 2,1
Cliftonville 3,1
Clipperstown,2
Clogh Mills,50
Clogher,38
Clonallan 1,12
Clonallan 2,23
Clonard 1,10
Clonard 2,3
Clondermot 1,16
Clondermot 2,18
Cloughfern 1,11
Cloughfern 2,0
Coagh,198
Coalisland North,2
Coalisland South,70
Coalisland West and Newmills,37
Collin Glen 1,42
Collin Glen 2,0
Collin Glen 3,0
Collinbridge 1,0
Collinbridge 2,20
Comber East 1,14
Comber East 2,0
Comber North 1,0
Comber North 2,0
Comber West 1,0
Comber West 2,6
Conlig 1,36
Conlig 2,266
Conlig 3,0
Coole,0
Coolessan,4
Coolhill,40
Coolnagard,71
Corcrain 1,5
Corcrain 2,66
Court 1,120
Court 2,9
Craigavad,92
Craigy Hill,4
Craigywarren,33
Cranfield,2
Crawfordsburn,108
Cregagh,1
Creggan,13
Creggan Central 1,5
Creggan Central 2,0
Creggan South,4
Crevagh 1,7
Crevagh 2,7
Crevagh 3,6
Cross Glebe,61
Crossgar 1,8
Crossgar 2,0
Crossmaglen,13
Crumlin 1 (Antrim LGD),17
Crumlin 1 (Belfast LGD),9
Crumlin 2 (Antrim LGD),124
Crumlin 2 (Belfast LGD),25
Cullybackey,2
Culmore 1,12
Culmore 2,3
Culmore 3,0
Culmore 4,8
Culmore 5,12
Cultra,168
Daisy Hill 1,2
Daisy Hill 2,137
Dalriada,3
Demesne 1,23
Demesne 2,2
Dergmoney,130
Derryaghy 1,0
Derryaghy 2,0
Derryaghy 3,214
Derryboy 1,20
Derryboy 2,35
Derrygonnelly,35
Derryleckagh 1,2
Derryleckagh 2,21
Derrylin,40
Derrymore 1,27
Derrymore 2,6
Derrynoose,10
Derrytrasna 1,146
Derrytrasna 2,0
Dervock,9
Devenish,15
Doagh 1,2
Doagh 2,3
Donagh,12
Donaghadee North 1,27
Donaghadee North 2,64
Donaghadee South 1,11
Donaghadee South 2,2
Donaghcloney 1,61
Donaghcloney 2,18
Donaghmore,17
Donaghmore 1,9
Donaghmore 2,36
Donard 1,81
Donard 2,6
Downs,140
Downshire,6
Draperstown,59
Dromara 1,33
Dromara 2,6
Dromore,12
Dromore North,15
Dromore South 1,17
Dromore South 2,2
Drumalane 1,38
Drumalane 2,17
Drumanaway,31
Drumaness 1,16
Drumaness 2,10
Drumbo 1,2
Drumbo 2,1
Drumgask 1,2
Drumgask 2,0
Drumglass,193
Drumgor 1,196
Drumgor 2,15
Drumgullion 1,303
Drumgullion 2,99
Drumnakilly,1
Drumnamoe 1,4
Drumnamoe 2,0
Drumquin,7
Drumragh,496
Dufferin,28
Dunanney,33
Duncairn 1,"3,608"
Duncairn 2,10
Dunclug,2
Dundonald 1,6
Dundonald 2,0
Dundooan 1,148
Dundooan 2,19
Dundrum,28
Dungiven,16
Dunloy,13
Dunluce,85
Dunminning,27
Dunmore,23
Dunmurry 1,91
Dunmurry 2,6
Dunnamanagh,10
Dunnamore,17
East,121
Ebrington 1,12
Ebrington 2,38
Eden 1,9
Eden 2,3
Edenderry,180
Edenderry 1,25
Edenderry 2,27
Eglinton 1,183
Eglinton 2,50
Enagh 1 (Derry LGD),86
Enagh 1 (Limavady LGD),7
Enagh 2 (Derry LGD),73
Enagh 2 (Limavady LGD),43
Enler,1
Erne,0
Fair Green,32
Fairhill,33
Fairy Water,13
Falls 1,1
Falls 2,0
Falls 3,"1,044"
Falls Park 1,129
Falls Park 2,58
Falls Park 3,1
Farranshane,761
Fathom,27
Feeny,18
Finaghy 1,1
Finaghy 2,1
Finaghy 3,4
Finn,1
Fintona,6
Fivemiletown,53
Florence Court and Kinawley,43
Forest,14
Forkhill 1,10
Forkhill 2,0
Fort,46
Fortwilliam 1,76
Fortwilliam 2,7
Fortwilliam 3,89
Fountain Hill,41
Foyle Springs 1,2
Foyle Springs 2,1
Galgorm 1,105
Galgorm 2,34
Galwally,5
Gardenmore,33
Garvagh,56
Gilford,2
Gilnahirk,6
Glack,5
Glebe,45
Glebe 1 (Magherafelt LGD),64
Glebe 1 (Newtownabbey LGD),34
Glebe 2 (Magherafelt LGD),163
Glebe 2 (Newtownabbey LGD),17
Glen 1,0
Glen 2,3
Glen Road 1,27
Glen Road 2,7
Glen Road 3,13
Glenaan and Glendun,13
Glenariff,1
Glenarm,3
Glenavy 1,1
Glenavy 2,49
Glencairn 1,0
Glencairn 2,32
Glencolin 1,1
Glencolin 2,10
Glencolin 3,0
Glencolin 4,0
Glenderg,10
Glengormley 1,3
Glengormley 2,6
Glenravel,45
Glentaisie and Kinbane,7
Glenwhirry,52
Glynn,2
Gortalee,7
Gortalowry,136
Gortin,22
Gortrush 1,0
Gortrush 2,40
Graham's Bridge,448
Grange,58
Gransha,20
Greenisland,74
Gregstown 1,0
Gregstown 2,6
Gregstown 3,0
Gresteel 1,7
Gresteel 2,2
Greystone (Antrim LGD),0
Greystone (Limavady LGD),24
Groomsport,8
Gulladuff,45
Hamiltonsbawn 1,4
Hamiltonsbawn 2,2
Harbour,124
Harbour 1,119
Harbour 2,38
Harmony Hill,28
Harryville,495
Hawthorne,0
Highfield 1,0
Highfield 2,0
Highfield 3,8
Hightown,45
Hilden 1,568
Hilden 2,2
Hillfoot,11
Hillhall 1,12
Hillhall 2,24
Hillsborough 1,4
Hillsborough 2,173
Hockley,91
Holly Mount 1,11
Holly Mount 2,97
Holywood Demesne,408
Holywood Priory,"3,429"
Hopefield 1,32
Hopefield 2,0
Irvinestown,7
Island 1,275
Island 2,303
Island Magee,8
Jordanstown 1,0
Jordanstown 2,18
Jordanstown 3,3
Katesbridge,57
Keady,3
Kells 1,2
